StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q16,Q2,Q15,Q162,Q18_1,Q18_2,Q18_3,Q18_4,Q18_5,Q18_6,Q18_7,Q18_8,Q18_9,Q18_10,Q22,Q4,Q19,Q20,Q23,Q24,Q25,Q26
45209.32014,45209.325,0,80.144.214.4,100,444,1,45209.325,R_3PIfzE94NSUwfY0,,,,,48.1716,11.5236,anonymous,DE,1,25,2,1,5,4,4,4,4,3,4,5,4,4,2,3,2,4,,1,,"Orte k«Ùnnten mit G«œnsef«¨«?chen angezeigt werden, damit sich der Text besser liest."
45228.65139,45228.65417,0,24.62.84.115,100,231,1,45228.65417,R_3MRTgEXXzeiYJKb,,,,,42.3649,-71.0987,anonymous,DE,1,26,1,1,3,4,5,5,4,4,3,4,4,4,2,1.5,2,4,,2,,
45253.71389,45253.71597,0,104.28.64.22,100,193,1,45253.71597,R_3oT3FL0Aea5EwM9,,,,,52.5196,13.4069,anonymous,DE,1,36,1,1,4,5,5,4,4,5,5,5,2,1,2,2,2,5,,1,,
45245.36389,45245.36597,0,91.61.251.101,100,161,1,45245.36597,R_5uJdnhnDgkhsyEp,,,,,54.1063,11.9065,anonymous,DE,1,56,1,2,4,3,5,5,4,3,4,4,2,2,2,1,2,3,,1,,
45217.46389,45217.46597,0,62.96.255.24,100,173,1,45217.46597,R_1hHhhqTQUvirpeV,,,,,53.5544,9.9946,anonymous,DE,1,26,2,2,4,5,3,5,4,5,4,5,4,4,2,2,0,5,,1,,
45227.50208,45227.50278,0,95.91.228.136,100,81,1,45227.50278,R_3dMoGAylHWW44e9,,,,,53.5544,9.9946,anonymous,DE,1,30,2,1,4,4,5,5,4,3,4,4,5,4,2,5,2,4,,1,,
45219.34375,45219.35,0,146.52.137.134,100,563,1,45219.35,R_1da9joncZEzmkOs,,,,,54.3976,9.9823,anonymous,DE,1,22,2,1,4,5,4,5,4,5,5,5,4,5,2,5,2,4,,1,,Sehr intuitiv zu nutzender Chatbot :) Der einzige Fehler war als ich nach einer Veranstaltung gefragt habe die nichts mit tanzen zutun hat und mir trotzdem Tanz-Events vorgeschlagen wurden. Werde den Chatbot aber trotzdem auf jeden Fall wieder verwenden.
45232.48403,45232.48472,0,89.12.182.242,100,87,1,45232.48472,R_302ILqIjOHbVKlj,,,,,52.502,13.4041,anonymous,DE,1,20,1,1,5,5,5,5,5,5,5,5,5,5,2,2,3,1,,1,,Super cooles chatbot 
45257.49653,45257.5,0,62.93.3.160,100,283,1,45257.5,R_1lrtECzKrFnTzOi,,,,,53.9187,9.8786,anonymous,DE,1,18,2,1,5,4,5,5,5,5,5,5,5,4,2,2,1,3,,1,,
45219.57431,45219.57778,0,217.226.162.139,100,257,1,45219.57778,R_3KrOPL3PrD4PX3u,,,,,48.1852,11.5403,anonymous,DE,1,26,1,1,4,3,5,5,4,3,4,4,3,4,2,1,1,4,,1,,
